Data, Gold 
05/abr/19,1345.20
04/abr/19,1343.50
03/abr/19,1344.00
02/abr/19,1343.90
01/abr/19,1342.70
29/mar/19,1346.00
28/mar/19,1342.40
27/mar/19,1363.80
26/mar/19,1369.30
25/mar/19,1378.10
22/mar/19,1369.30
21/mar/19,1364.50
20/mar/19,1359.50
19/mar/19,1364.70
18/mar/19,1359.40
15/mar/19,1360.60
14/mar/19,1352.90
13/mar/19,1368.10
12/mar/19,1356.60
11/mar/19,1350.00
08/mar/19,1358.50
07/mar/19,1344.90
06/mar/19,1346.50
05/mar/19,1343.50
02/mar/19,1346.30
01/mar/19,1358.30
28/fev/19,1375.30
27/fev/19,1380.50
26/fev/19,1387.90
25/fev/19,1389.00
22/fev/19,1392.50
21/fev/19,1387.20
20/fev/19,1406.70
19/fev/19,1403.90
18/fev/19,1329.55
17/fev/19,1324.25
15/fev/19,1381.20
14/fev/19,1373.20
13/fev/19,1374.60
12/fev/19,1373.20
11/fev/19,1371.20
08/fev/19,1377.80
07/fev/19,1373.60
06/fev/19,1373.80
05/fev/19,1378.60
04/fev/19,1378.30
01/fev/19,1381.10
31/jan/19,1384.00
30/jan/19,1375.90
29/jan/19,1375.60
28/jan/19,1369.80
25/jan/19,1364.00
24/jan/19,1344.90
23/jan/19,1349.30
22/jan/19,1348.40
21/jan/19,1279.05
20/jan/19,1282.05
18/jan/19,1348.10
17/jan/19,1357.90
16/jan/19,1359.30
15/jan/19,1353.70
14/jan/19,1357.20
11/jan/19,1355.40
10/jan/19,1353.00
09/jan/19,1357.30
08/jan/19,1351.10
07/jan/19,1355.20
04/jan/19,1351.00
03/jan/19,1359.80
02/jan/19,1349.50
01/jan/19,1283.35
31/dez/18,1347.10
28/dez/18,1348.30
27/dez/18,1346.50
26/dez/18,1338.30
25/dez/18,1270.75
24/dez/18,1337.00
21/dez/18,1323.10
20/dez/18,1333.10
19/dez/18,1321.30
18/dez/18,1318.50
17/dez/18,1317.40
14/dez/18,1307.00
13/dez/18,1313.20
12/dez/18,1315.80
11/dez/18,1312.90
10/dez/18,1314.80
07/dez/18,1319.50
06/dez/18,1310.20
05/dez/18,1309.60
04/dez/18,1313.60
03/dez/18,1306.40
30/nov/18,1292.70
29/nov/18,1297.00
28/nov/18,1296.40
27/nov/18,1286.50
26/nov/18,1295.80
23/nov/18,1296.10
22/nov/18,1228.00
21/nov/18,1300.80
20/nov/18,1293.40
19/nov/18,1297.50
16/nov/18,1294.90
15/nov/18,1287.60
14/nov/18,1283.20
13/nov/18,1274.70
12/nov/18,1276.80
09/nov/18,1282.20
08/nov/18,1299.30
07/nov/18,1302.80
06/nov/18,1300.40
05/nov/18,1306.40
02/nov/18,1307.30
01/nov/18,1312.20
31/out/18,1288.20
30/out/18,1298.90
29/out/18,1301.10
26/out/18,1309.70
25/out/18,1306.70
24/out/18,1305.50
23/out/18,1312.00
22/out/18,1299.80
19/out/18,1303.80
18/out/18,1305.10
17/out/18,1301.90
16/out/18,1305.80
15/out/18,1305.40
12/out/18,1296.30
11/out/18,1302.30
10/out/18,1267.70
09/out/18,1265.80
08/out/18,1262.90
05/out/18,1280.20
04/out/18,1275.50
03/out/18,1276.70
02/out/18,1280.70
01/out/18,1264.40
28/set/18,1268.70
27/set/18,1259.80
26/set/18,1271.80
25/set/18,1278.20
24/set/18,1277.40
21/set/18,1274.30
20/set/18,1284.40
19/set/18,1281.50
18/set/18,1275.70
17/set/18,1278.40
14/set/18,1273.80
13/set/18,1281.00
12/set/18,1283.90
11/set/18,1274.40
10/set/18,1271.60
07/set/18,1272.10
06/set/18,1275.70
05/set/18,1272.60
04/set/18,1270.20
03/set/18,1206.30
02/set/18,1204.90
31/ago/18,1277.70
30/ago/18,1276.10
29/ago/18,1283.30
28/ago/18,1286.40
27/ago/18,1288.00
24/ago/18,1285.00
23/ago/18,1265.20
22/ago/18,1275.80
21/ago/18,1272.80
20/ago/18,1267.50
17/ago/18,1258.10
16/ago/18,1258.00
15/ago/18,1259.70
14/ago/18,1275.90
13/ago/18,1274.10
10/ago/18,1294.60
09/ago/18,1295.80
08/ago/18,1296.80
07/ago/18,1294.20
06/ago/18,1293.60
03/ago/18,1299.40
02/ago/18,1296.20
01/ago/18,1304.00
31/jul/18,1309.80
30/jul/18,1307.70
27/jul/18,1309.00
26/jul/18,1311.50
25/jul/18,1316.70
24/jul/18,1310.80
23/jul/18,1310.70
20/jul/18,1316.80
19/jul/18,1310.40
18/jul/18,1315.00
17/jul/18,1314.60
16/jul/18,1327.50
13/jul/18,1329.00
12/jul/18,1335.20
11/jul/18,1333.10
10/jul/18,1344.90
09/jul/18,1348.80
06/jul/18,1344.60
05/jul/18,1347.40
04/jul/18,1258.10
03/jul/18,1342.20
02/jul/18,1329.70
29/jun/18,1343.70
28/jun/18,1340.00
27/jun/18,1345.50
26/jun/18,1350.00
25/jun/18,1359.60
22/jun/18,1361.70
21/jun/18,1361.40
20/jun/18,1365.70
19/jun/18,1369.60
18/jun/18,1371.50
15/jun/18,1369.70
14/jun/18,1401.00
13/jun/18,1393.90
12/jun/18,1392.20
11/jun/18,1395.90
08/jun/18,1394.80
07/jun/18,1394.80
06/jun/18,1393.90
05/jun/18,1394.50
04/jun/18,1389.50
01/jun/18,1390.10
31/mai/18,1395.00
30/mai/18,1396.70
29/mai/18,1393.70
28/mai/18,1297.60
27/mai/18,1298.30
25/mai/18,1403.20
24/mai/18,1404.20
23/mai/18,1389.20
22/mai/18,1392.10
21/mai/18,1391.10
18/mai/18,1391.30
17/mai/18,1390.00
16/mai/18,1392.10
15/mai/18,1389.80
14/mai/18,1417.90
11/mai/18,1420.40
10/mai/18,1422.10
09/mai/18,1413.00
08/mai/18,1413.80
07/mai/18,1414.20
04/mai/18,1414.70
03/mai/18,1412.40
02/mai/18,1405.30
01/mai/18,1406.40
30/abr/18,1419.10
27/abr/18,1423.60
26/abr/18,1418.00
25/abr/18,1422.90
24/abr/18,1433.10
23/abr/18,1424.00
20/abr/18,1438.20
19/abr/18,1448.80
18/abr/18,1453.50
17/abr/18,1449.30
16/abr/18,1450.60
13/abr/18,1447.90
12/abr/18,1441.40
11/abr/18,1460.00
10/abr/18,1445.50
09/abr/18,1439.60
06/abr/18,1435.90
05/abr/18,1428.10
04/abr/18,1439.70
03/abr/18,1436.50
02/abr/18,1445.80
29/mar/18,1426.00
28/mar/18,1428.90
27/mar/18,1447.80
26/mar/18,1461.00
23/mar/18,1455.00
22/mar/18,1432.20
21/mar/18,1426.60
20/mar/18,1416.20
19/mar/18,1421.70
16/mar/18,1416.30
15/mar/18,1421.70
14/mar/18,1429.70
13/mar/18,1431.40
12/mar/18,1424.80
09/mar/18,1428.00
08/mar/18,1423.70
07/mar/18,1427.90
06/mar/18,1435.90
